"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "HTML", "Markdown", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\myDip\projectDip\Cinema library\README.md", "Markdown", 0, 0, 0, 0, 0, 235, 0, 0, 0, 0, 7, 242
"c:\myDip\projectDip\Cinema library\eslint.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\myDip\projectDip\Cinema library\index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\myDip\projectDip\Cinema library\package-lock.json", "JSON", 0, 5700, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5701
"c:\myDip\projectDip\Cinema library\package.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\myDip\projectDip\Cinema library\public\images\Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 18
"c:\myDip\projectDip\Cinema library\public\images\icons\Search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\myDip\projectDip\Cinema library\server\achievementsEngine.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 19, 18, 105
"c:\myDip\projectDip\Cinema library\server\controllers\analyticsController.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 69
"c:\myDip\projectDip\Cinema library\server\controllers\authController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\myDip\projectDip\Cinema library\server\controllers\movieController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\myDip\projectDip\Cinema library\server\index.js", "JavaScript", 474, 0, 0, 0, 0, 0, 0, 0, 0, 49, 91, 614
"c:\myDip\projectDip\Cinema library\server\middleware\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\myDip\projectDip\Cinema library\server\middleware\authMiddleware.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 32
"c:\myDip\projectDip\Cinema library\server\package-lock.json", "JSON", 0, 1287, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1288
"c:\myDip\projectDip\Cinema library\server\package.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\myDip\projectDip\Cinema library\server\routes\authRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\myDip\projectDip\Cinema library\server\routes\movieRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\myDip\projectDip\Cinema library\server\utils\passwordUtils.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"c:\myDip\projectDip\Cinema library\server\utils\tokenUtils.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 11
"c:\myDip\projectDip\Cinema library\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\myDip\projectDip\Cinema library\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 3, 46
"c:\myDip\projectDip\Cinema library\src\api\axios.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\myDip\projectDip\Cinema library\src\cinema_library_achievements.json", "JSON", 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184
"c:\myDip\projectDip\Cinema library\src\components\AddToListPopover\AddToListPopover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 0, 4, 9, 127
"c:\myDip\projectDip\Cinema library\src\components\AddToListPopover\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\myDip\projectDip\Cinema library\src\components\AuthModal\AuthModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 7, 21, 150
"c:\myDip\projectDip\Cinema library\src\components\AuthModal\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\myDip\projectDip\Cinema library\src\components\BottomNav\BottomNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 12, 10, 94
"c:\myDip\projectDip\Cinema library\src\components\BottomNav\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\myDip\projectDip\Cinema library\src\components\CreateListModal\CreateListModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 3, 18, 99
"c:\myDip\projectDip\Cinema library\src\components\CreateListModal\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
